CustomerID,Age,Gender,City,Employment_Type,Annual_Income,Credit_Score,Tenure_Months,Avg_Monthly_Balance,Balance_Change_Ratio,Mobile_App_Logins,UPI_Transactions,ATM_Withdrawals,NetBanking_Usage,Complaint_Tickets,Call_Center_Interactions,Has_Credit_Card,Has_Loan,Has_Insurance,Churn
IB034789,63,Female,Chennai,Business,,749.0,196,,,,,2.0,,1.0,4.0,0,1,1,0
IB011257,26,Male,Amritsar,Business,,,53,25610.0,-0.4037,9.0,14.0,2.0,11.0,3.0,,0,0,0,0
IB048899,50,Male,Coimbatore,Self_Employed,,606.0,134,123560.0,-0.0593,4.0,12.0,3.0,2.0,1.0,1.0,1,0,0,0
IB017689,47,Female,Agra,Self_Employed,665200.0,659.0,148,39690.0,-0.4163,9.0,8.0,4.0,4.0,4.0,3.0,0,1,1,0
IB002472,23,Female,Madurai,Salaried,715900.0,575.0,29,,,10.0,16.0,6.0,3.0,,2.0,0,0,1,1
IB031788,68,Male,Ahmedabad,Salaried,663400.0,679.0,198,20450.0,-0.1561,,,4.0,,0.0,1.0,1,0,0,0
IB048317,37,Female,Kanpur,Self_Employed,477000.0,621.0,113,35390.0,-0.1358,7.0,11.0,2.0,6.0,1.0,3.0,0,0,0,0
IB023358,48,Male,Bengaluru,Salaried,712100.0,622.0,139,54420.0,-0.2093,3.0,6.0,,4.0,2.0,,0,0,0,0
IB035003,41,Female,Guwahati,Salaried,929900.0,644.0,144,44620.0,-0.1146,10.0,13.0,4.0,7.0,1.0,1.0,0,0,0,0
IB022053,42,Male,Kochi,Salaried,801700.0,696.0,157,22760.0,-0.2956,3.0,14.0,3.0,7.0,0.0,4.0,0,0,1,0
IB025192,25,Female,Coimbatore,Self_Employed,,,5,109020.0,-0.171,10.0,6.0,1.0,8.0,2.0,2.0,0,0,0,0
IB043402,66,Male,Madurai,Self_Employed,,709.0,129,77870.0,0.0975,,,4.0,,0.0,1.0,1,1,1,0
IB018380,47,Female,Faridabad,Self_Employed,1248800.0,606.0,101,52220.0,-0.2166,10.0,26.0,0.0,11.0,1.0,2.0,1,0,0,0
IB048514,52,Male,Chennai,Salaried,957800.0,654.0,78,23770.0,-0.4457,5.0,14.0,7.0,3.0,2.0,3.0,1,1,1,0
IB047957,43,Female,Chennai,Salaried,556200.0,656.0,146,34920.0,-0.0099,9.0,13.0,4.0,8.0,3.0,2.0,0,0,0,0
IB008228,65,Male,Lucknow,Business,,791.0,169,330440.0,0.0999,4.0,17.0,,8.0,3.0,2.0,1,0,1,0
IB041817,35,Female,Meerut,Self_Employed,,607.0,130,56660.0,-0.1175,11.0,20.0,1.0,12.0,1.0,0.0,1,0,0,0
IB018029,31,Female,Vadodara,Salaried,322800.0,542.0,90,2900.0,-0.111,9.0,14.0,,5.0,1.0,3.0,1,0,1,0
IB045928,27,Male,Delhi,Business,538500.0,609.0,20,14540.0,-0.5583,8.0,15.0,,4.0,1.0,2.0,1,1,1,1
IB001739,42,Male,Bengaluru,Self_Employed,715900.0,655.0,170,18310.0,-0.2593,9.0,12.0,4.0,3.0,0.0,2.0,0,1,0,0
IB018582,53,Female,Bengaluru,Salaried,523500.0,710.0,212,38500.0,-0.0761,6.0,9.0,8.0,4.0,2.0,,0,0,0,0
IB002731,70,Female,Hyderabad,Business,,722.0,134,197060.0,-0.1124,,,2.0,,0.0,2.0,1,1,1,0
IB031652,58,Male,Amritsar,Salaried,878400.0,677.0,121,60270.0,0.1674,6.0,11.0,4.0,7.0,0.0,1.0,1,0,0,0
IB028072,70,Female,Nagpur,Self_Employed,,657.0,176,32300.0,0.1159,,,5.0,,0.0,,1,0,0,0
IB000928,54,Male,Pimpri-Chinchwad,Salaried,545500.0,641.0,90,36480.0,0.1064,13.0,10.0,5.0,4.0,0.0,1.0,0,0,0,0
IB000768,26,Female,Howrah,Salaried,1195200.0,607.0,96,38940.0,-0.1521,12.0,19.0,,10.0,2.0,3.0,0,0,0,0
IB048511,29,Male,Pimpri-Chinchwad,Student,218700.0,575.0,69,5980.0,0.0127,10.0,16.0,1.0,9.0,0.0,,1,0,0,1
IB017277,30,Male,Bhopal,Business,,645.0,143,55710.0,-0.0746,7.0,15.0,,6.0,0.0,,1,0,1,0
IB032125,34,Male,Kolkata,Student,245900.0,660.0,134,3700.0,-0.0342,11.0,13.0,3.0,4.0,3.0,2.0,1,0,0,0
IB033722,22,Female,Mumbai,Salaried,620600.0,,11,23740.0,0.0769,10.0,18.0,2.0,2.0,1.0,0.0,0,0,0,0
IB044983,64,Male,Kolkata,Self_Employed,,668.0,136,47520.0,-0.1977,,,9.0,,,2.0,0,1,0,1
IB021734,43,Female,Guwahati,Self_Employed,,537.0,147,,,8.0,15.0,1.0,7.0,1.0,2.0,0,0,0,0
IB005325,21,Male,Surat,Salaried,478700.0,,19,23470.0,0.0127,9.0,16.0,6.0,4.0,1.0,,1,1,0,0
IB038602,61,Male,Mumbai,Self_Employed,,630.0,121,16700.0,-0.5108,4.0,2.0,5.0,3.0,2.0,,1,0,0,1
IB027458,42,Male,Delhi,Business,1055300.0,663.0,148,113880.0,-0.1722,9.0,15.0,4.0,6.0,1.0,1.0,1,0,1,0
IB035739,49,Male,Chennai,Salaried,627700.0,675.0,182,38790.0,-0.0362,2.0,7.0,3.0,3.0,0.0,3.0,0,0,0,1
IB044698,42,Female,Kolkata,Salaried,983300.0,625.0,149,37170.0,-0.0805,11.0,9.0,1.0,5.0,4.0,5.0,1,0,0,1
IB014298,35,Male,Hyderabad,Salaried,248000.0,618.0,147,,,6.0,12.0,,5.0,0.0,2.0,1,1,0,0
IB019828,62,Male,Guwahati,Self_Employed,,703.0,112,20400.0,0.023,4.0,5.0,5.0,0.0,0.0,2.0,0,0,0,0
IB042154,70,Female,Kanpur,Retired,618400.0,690.0,181,25700.0,0.0138,,,7.0,,2.0,2.0,0,0,1,0
IB045413,25,Female,Delhi,Self_Employed,,634.0,24,93610.0,-0.0533,11.0,13.0,1.0,7.0,4.0,5.0,0,0,0,1
IB029304,64,Male,Delhi,Business,,678.0,164,34270.0,-0.0683,,,1.0,,,1.0,0,1,0,0
IB016372,23,Female,Thane,Business,,578.0,59,46150.0,-0.0553,9.0,15.0,,7.0,2.0,3.0,1,0,0,0
IB016316,45,Male,Ahmedabad,Self_Employed,,690.0,178,121190.0,0.0054,7.0,21.0,1.0,11.0,1.0,1.0,0,0,0,0
IB049079,49,Female,Nagpur,Self_Employed,,660.0,164,55230.0,-0.2114,5.0,10.0,2.0,2.0,2.0,3.0,1,0,0,0
IB016004,68,Male,Mumbai,Salaried,1655400.0,626.0,119,30380.0,-0.6305,1.0,18.0,5.0,5.0,4.0,2.0,1,1,0,1
IB001070,54,Male,Ahmedabad,Retired,330500.0,601.0,104,,,6.0,8.0,5.0,3.0,3.0,6.0,0,0,0,0
IB049970,53,Female,Nagpur,Self_Employed,1878700.0,740.0,188,158570.0,0.1052,6.0,13.0,2.0,8.0,,2.0,1,1,1,0
IB036602,34,Male,Mumbai,Salaried,754300.0,643.0,99,15470.0,0.0097,8.0,12.0,4.0,2.0,1.0,1.0,1,1,0,0
IB013803,51,Female,Surat,Salaried,714000.0,622.0,146,60460.0,-0.1833,7.0,7.0,7.0,2.0,2.0,1.0,0,0,0,1
IB008109,71,Female,Nagpur,Student,279400.0,655.0,129,7790.0,0.1107,,,,,1.0,0.0,1,1,0,0
IB045180,49,Female,Lucknow,Self_Employed,2587900.0,809.0,139,137820.0,-0.1027,13.0,21.0,3.0,17.0,0.0,1.0,1,1,1,0
IB044264,57,Male,Agra,Self_Employed,548400.0,584.0,144,22260.0,-0.1109,7.0,9.0,,4.0,2.0,2.0,1,1,1,0
IB049862,47,Male,Nagpur,Business,,678.0,128,371040.0,-0.1703,5.0,22.0,2.0,13.0,3.0,1.0,1,1,0,0
IB044309,34,Male,Agra,Salaried,401700.0,617.0,115,18200.0,-0.0194,13.0,11.0,3.0,6.0,0.0,0.0,1,0,0,0
IB001293,59,Female,Srinagar,Salaried,1029600.0,650.0,156,25490.0,-0.1217,5.0,17.0,10.0,7.0,1.0,1.0,1,0,1,0
IB039299,58,Female,Nashik,Business,948900.0,621.0,74,133970.0,-0.0092,9.0,11.0,6.0,3.0,2.0,2.0,0,0,0,0
IB036976,58,Female,Chennai,Self_Employed,,667.0,106,43060.0,0.0153,5.0,14.0,,15.0,3.0,3.0,0,0,1,0
IB018019,52,Male,Varanasi,Retired,337100.0,632.0,134,,,8.0,8.0,4.0,5.0,1.0,2.0,1,0,1,0
IB002260,32,Male,Thane,Salaried,1315200.0,613.0,74,50870.0,-0.1346,13.0,11.0,2.0,8.0,0.0,3.0,0,1,0,1
IB044693,25,Female,Mumbai,Salaried,539600.0,,44,42180.0,-0.0945,12.0,16.0,3.0,8.0,2.0,5.0,0,1,0,0
IB024515,31,Male,Mumbai,Salaried,590200.0,602.0,88,22600.0,0.0164,5.0,8.0,4.0,5.0,2.0,3.0,0,1,0,0
IB001468,23,Male,Hyderabad,Self_Employed,1001200.0,587.0,60,54350.0,-0.1063,10.0,16.0,1.0,4.0,2.0,1.0,1,0,0,1
IB014880,46,Male,Ludhiana,Salaried,1007200.0,629.0,161,14410.0,-0.0301,4.0,24.0,2.0,10.0,0.0,6.0,1,0,0,0
IB028498,64,Female,Mumbai,Salaried,641900.0,674.0,149,32480.0,-0.1338,,,5.0,,1.0,,0,0,1,0
IB031488,24,Male,Kanpur,Salaried,598700.0,547.0,41,28890.0,0.0809,19.0,13.0,1.0,7.0,3.0,2.0,1,0,0,0
IB012214,54,Female,Bengaluru,Salaried,748000.0,692.0,152,,,5.0,6.0,10.0,7.0,5.0,7.0,1,0,1,1
IB008599,45,Male,Coimbatore,Salaried,651100.0,648.0,148,71960.0,0.1006,7.0,10.0,6.0,4.0,0.0,2.0,0,1,0,0
IB049324,22,Female,Nagpur,Business,1398800.0,,39,79210.0,-0.0535,7.0,18.0,2.0,6.0,0.0,2.0,0,0,0,0
IB018307,66,Male,Chennai,Self_Employed,672700.0,596.0,127,70980.0,0.058,,,,,0.0,2.0,1,1,0,0
IB044356,62,Male,Surat,Self_Employed,461700.0,638.0,121,47220.0,-0.1382,2.0,4.0,10.0,2.0,0.0,1.0,1,0,0,0
IB018615,46,Female,Pune,Retired,373600.0,574.0,62,33440.0,-0.2018,5.0,9.0,1.0,3.0,0.0,2.0,0,0,0,0
IB048852,65,Male,Hyderabad,Salaried,970500.0,729.0,102,,,,,5.0,,2.0,4.0,1,0,1,0
IB017478,25,Female,Ahmedabad,Salaried,694500.0,,73,32000.0,0.122,11.0,12.0,2.0,9.0,1.0,3.0,0,1,0,0
IB045857,23,Male,Pune,Retired,311900.0,,45,,,11.0,16.0,3.0,8.0,5.0,5.0,1,0,0,0
IB041788,21,Female,Agra,Self_Employed,537700.0,608.0,24,41290.0,-0.1095,9.0,18.0,,10.0,3.0,,0,0,0,1
IB004851,26,Female,Mumbai,Salaried,1278100.0,633.0,89,106510.0,0.0007,10.0,13.0,,8.0,0.0,,0,0,0,1
IB034017,25,Female,Surat,Self_Employed,1594200.0,,84,45870.0,-0.4637,16.0,17.0,3.0,8.0,4.0,4.0,1,0,0,1
IB028401,56,Male,Kanpur,Salaried,563800.0,621.0,128,37000.0,-0.0686,2.0,11.0,3.0,0.0,2.0,5.0,0,0,0,1
IB011436,33,Male,Noida,Business,,618.0,100,32340.0,-0.494,10.0,14.0,2.0,6.0,1.0,,0,0,0,1
IB016189,43,Female,Jaipur,Business,932800.0,670.0,179,,,13.0,12.0,2.0,10.0,1.0,1.0,1,1,0,0
IB016132,68,Female,Bengaluru,Self_Employed,,635.0,119,32450.0,-0.045,,,4.0,,1.0,1.0,1,1,0,0
IB040636,63,Male,Kolkata,Salaried,726500.0,610.0,116,62210.0,-0.1291,,,2.0,,,,1,0,0,0
IB047258,59,Female,Indore,Salaried,639700.0,666.0,125,15430.0,0.1642,4.0,4.0,,3.0,0.0,1.0,1,0,0,0
IB013963,45,Female,Madurai,Student,199800.0,606.0,128,6990.0,0.1884,6.0,14.0,6.0,8.0,,2.0,0,0,0,0
IB015147,60,Female,Ranchi,Salaried,885200.0,600.0,153,34300.0,-0.1528,0.0,1.0,7.0,1.0,6.0,,1,1,1,0
IB008657,52,Male,Mumbai,Self_Employed,,722.0,155,26920.0,0.1708,4.0,4.0,5.0,3.0,1.0,1.0,0,0,1,0
IB009577,22,Female,Nagpur,Salaried,532800.0,,33,40550.0,-0.2303,14.0,22.0,3.0,6.0,0.0,2.0,1,0,1,0
IB042905,50,Male,Visakhapatnam,Business,,707.0,110,32300.0,0.0589,6.0,14.0,,8.0,0.0,3.0,0,0,1,0
IB032128,30,Male,Ghaziabad,Business,1670800.0,655.0,107,231070.0,-0.0826,14.0,17.0,4.0,5.0,0.0,1.0,1,0,1,0
IB037724,50,Female,Ahmedabad,Self_Employed,,719.0,193,,,12.0,19.0,1.0,9.0,1.0,2.0,1,1,0,0
IB031148,27,Female,Howrah,Salaried,460400.0,674.0,95,39080.0,0.1629,13.0,20.0,4.0,2.0,4.0,3.0,0,0,0,1
IB047143,69,Male,Jaipur,Business,1154400.0,692.0,154,76840.0,-0.6047,,,7.0,,6.0,5.0,1,0,0,0
IB047183,51,Female,Mumbai,Salaried,485300.0,648.0,157,9770.0,-0.6509,7.0,4.0,6.0,8.0,0.0,,1,1,0,0
IB002329,59,Female,Delhi,Student,230500.0,661.0,119,4810.0,-0.2357,7.0,9.0,9.0,2.0,1.0,2.0,1,0,1,0
IB018803,26,Male,Jaipur,Student,158900.0,614.0,60,1900.0,-0.0328,10.0,9.0,4.0,8.0,2.0,1.0,0,0,0,1
